target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2322.08	0	0
AT1G18320.1	699	512.083	5.25883	2.19636
AT5G11100.1	1709	1522.08	30	4.21539
AT4G35335.1	1280	1093.08	72	14.0875
AT1G60930.1	3876	3689.08	12	0.695694
AT1G17000.1	2351	2164.08	0	0
AT3G55270.1	3130	2943.08	196	14.2432
AT4G16150.1	3181	2994.08	352	25.144
AT3G18150.1	1370	1183.08	0	0
AT3G52310.1	2443	2256.08	4	0.379193
AT3G08943.1	3165	2978.08	129.294	9.28533
AT4G15950.1	814	627.083	40	13.6424
AT5G60900.1	2873	2686.08	1	0.0796225
AT5G18710.1	1919	1732.08	0	0
AT1G64460.1	2240	2053.08	66	6.87532
AT2G31100.1	1247	1060.08	0	0
AT1G60260.1	1634	1447.08	59	8.71995
AT2G06210.1	3579	3392.08	185	11.6644
AT3G57180.1	2232	2045.08	64	6.69305
ATMG01320.1	922	735.083	8.31811	2.42016
AT4G15130.1	1234	1047.08	47	9.60002
AT5G39100.1	808	621.083	1	0.344354
AT4G16110.1	2666	2479.08	94	8.10946
AT5G26800.1	637	450.132	89	42.2869
AT4G16360.1	1685	1498.08	151	21.5574
ATMG00060.1	542	355.28	11	6.62181
AT1G76820.1	3857	3670.08	41.4201	2.41374
AT3G05780.1	2775	2588.08	0	0
AT1G24405.1	718	531.083	4	1.61084
AT2G27490.4	843	656.083	40.4121	13.1737
AT2G27490.1	1367	1180.08	3.15039	0.570961
AT2G27490.3	1201	1014.08	0	0
AT2G27490.2	1381	1194.08	18.4375	3.30234
AT3G13276.1	269	97.1503	0	0
AT1G71740.1	393	208.544	8	8.2044
AT1G52920.1	1351	1164.08	4	0.734905
AT2G17370.1	2273	2086.08	51	5.2287
AT4G13615.1	813	626.083	341	116.487
AT3G46680.1	1350	1163.08	0	0
AT1G70830.3	996	809.083	0	0
AT1G70830.2	1329	1142.08	0	0
AT1G70830.5	787	600.083	0	0
AT1G70830.4	1393	1206.08	0	0
AT1G70830.1	1331	1144.08	239	44.6782
AT2G34090.3	1458	1271.08	0	0
AT2G34090.2	1616	1429.08	0	0
AT2G34090.1	1700	1513.08	61.3314	8.66913
AT2G34090.4	1521	1334.08	0	0
AT2G34090.5	1425	1238.08	5.66857	0.979217
AT1G65541.1	340	159.142	0	0
AT2G01050.1	1548	1361.08	0	0
AT2G07751.1	357	174.636	5	6.1234
AT4G20565.1	789	602.083	0	0
AT1G61566.1	551	364.208	0	0
AT4G29530.2	1148	961.083	6.56254	1.46038
AT4G29530.1	1144	957.083	13.4375	3.00278
AT5G09225.1	780	593.083	120	43.2734
AT1G21100.1	1545	1358.08	80.1177	12.617
AT1G73150.1	2150	1963.08	32	3.48631
AT1G73150.2	1956	1769.08	0	0
