target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2323.66	0	0
AT1G18320.1	699	513.657	6.45956	4.20385
AT5G11100.1	1709	1523.66	29	6.36251
AT4G35335.1	1280	1094.66	42	12.8259
AT1G60930.1	3876	3690.66	15	1.35864
AT1G17000.1	2351	2165.66	0	0
AT3G55270.1	3130	2944.66	127	14.4174
AT4G16150.1	3181	2995.66	222	24.773
AT3G18150.1	1370	1184.66	0	0
AT3G52310.1	2443	2257.66	4	0.59227
AT3G08943.1	3165	2979.66	113.304	12.7115
AT4G15950.1	814	628.657	34	18.0793
AT5G60900.1	2873	2687.66	0	0
AT5G18710.1	1919	1733.66	2	0.385642
AT1G64460.1	2240	2054.66	51	8.29753
AT2G31100.1	1247	1061.66	0	0
AT1G60260.1	1634	1448.66	45	10.384
AT2G06210.1	3579	3393.66	121	11.9189
AT3G57180.1	2232	2046.66	52	8.49329
ATMG01320.1	922	736.657	4.66435	2.11662
AT4G15130.1	1234	1048.66	42	13.3885
AT5G39100.1	808	622.657	0	0
AT4G16110.1	2666	2480.66	45	6.06406
AT5G26800.1	637	451.657	69	51.0691
AT4G16360.1	1685	1499.66	104	23.1824
ATMG00060.1	542	356.806	4	3.74754
AT1G76820.1	3857	3671.66	33.9703	3.09282
AT3G05780.1	2775	2589.66	0	0
AT1G24405.1	718	532.657	1	0.627581
AT2G27490.4	843	657.657	39.7395	20.1995
AT2G27490.1	1367	1181.66	2.51224	0.710702
AT2G27490.3	1201	1015.66	0	0
AT2G27490.2	1381	1195.66	19.7483	5.52128
AT3G13276.1	269	97.9933	2	6.82263
AT1G71740.1	393	209.811	3	4.77982
AT1G52920.1	1351	1165.66	2	0.573557
AT2G17370.1	2273	2087.66	42	6.72524
AT4G13615.1	813	627.657	236	125.692
AT3G46680.1	1350	1164.66	0	0
AT1G70830.3	996	810.657	0	0
AT1G70830.2	1329	1143.66	0	0
AT1G70830.5	787	601.657	0	0
AT1G70830.4	1393	1207.66	0	0
AT1G70830.1	1331	1145.66	177	51.646
AT2G34090.3	1458	1272.66	0	0
AT2G34090.2	1616	1430.66	0	0
AT2G34090.1	1700	1514.66	41	9.04872
AT2G34090.4	1521	1335.66	0	0
AT2G34090.5	1425	1239.66	0	0
AT1G65541.1	340	160.021	0	0
AT2G01050.1	1548	1362.66	0	0
AT2G07751.1	357	175.797	2	3.8031
AT4G20565.1	789	603.657	0	0
AT1G61566.1	551	365.697	0	0
AT4G29530.2	1148	962.657	19	6.59781
AT4G29530.1	1144	958.657	0	0
AT5G09225.1	780	594.657	89	50.0312
AT1G21100.1	1545	1359.66	68.6153	16.8698
AT1G73150.1	2150	1964.66	4.55095	0.774343
AT1G73150.2	1956	1770.66	7.44905	1.40632
AT3G51750.3	654	468.657	0	0
AT3G51750.1	563	377.697	0	0
AT3G51750.2	560	374.697	0	0
AT1G07010.1	1622	1436.66	55	12.7976
AT1G07010.2	1556	1370.66	0	0
AT1G07010.3	1542	1356.66	0	0
AT1G32080.1	2009	1823.66	142	26.0293
AT1G16710.5	6346	6160.66	0	0
AT1G16710.7	5822	5636.66	48.2223	2.85985
AT1G16710.1	6018	5832.66	0	0
AT1G16710.4	6502	6316.66	0	0
AT1G16710.8	6455	6269.66	0	0
