target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2316.98	0	0
AT1G18320.1	699	506.982	9.12493	1.44976
AT5G11100.1	1709	1516.98	45	2.38942
AT4G35335.1	1280	1087.98	210	15.5474
AT1G60930.1	3876	3683.98	45	0.983908
AT1G17000.1	2351	2158.98	0	0
AT3G55270.1	3130	2937.98	491	13.4615
AT4G16150.1	3181	2988.98	861	23.2027
AT3G18150.1	1370	1177.98	0	0
AT3G52310.1	2443	2250.98	16	0.572542
AT3G08943.1	3165	2972.98	296.972	8.04604
AT4G15950.1	814	621.982	102	13.2094
AT5G60900.1	2873	2680.98	1	0.0300445
AT5G18710.1	1919	1726.98	4	0.186566
AT1G64460.1	2240	2047.98	151	5.93896
AT2G31100.1	1247	1054.98	1	0.076351
AT1G60260.1	1634	1441.98	170	9.49617
AT2G06210.1	3579	3386.98	415	9.86949
AT3G57180.1	2232	2039.98	163	6.43607
ATMG01320.1	922	729.982	21.7751	2.40275
AT4G15130.1	1234	1041.98	124	9.58564
AT5G39100.1	808	615.982	4	0.52306
AT4G16110.1	2666	2473.98	221	7.1954
AT5G26800.1	637	444.982	270	48.8744
AT4G16360.1	1685	1492.98	335	18.0738
ATMG00060.1	542	350.093	17	3.91134
AT1G76820.1	3857	3664.98	125.106	2.74959
AT3G05780.1	2775	2582.98	0	0
AT1G24405.1	718	525.982	12	1.83768
AT2G27490.4	843	650.982	95.2097	11.7807
AT2G27490.1	1367	1174.98	21.694	1.4872
AT2G27490.3	1201	1008.98	0	0
AT2G27490.2	1381	1188.98	50.0962	3.39382
AT3G13276.1	269	92.7539	1	0.868415
AT1G71740.1	393	203.563	12	4.74835
AT1G52920.1	1351	1158.98	4	0.277999
AT2G17370.1	2273	2080.98	134	5.18676
AT4G13615.1	813	620.982	757	98.1921
AT3G46680.1	1350	1157.98	2	0.139119
AT1G70830.3	996	803.982	0	0
AT1G70830.2	1329	1136.98	0	0
AT1G70830.5	787	594.982	0	0
AT1G70830.4	1393	1200.98	0	0
AT1G70830.1	1331	1138.98	424	29.9853
AT2G34090.3	1458	1265.98	0	0
AT2G34090.2	1616	1423.98	0	0
AT2G34090.1	1700	1507.98	198.245	10.5892
AT2G34090.4	1521	1328.98	0	0
AT2G34090.5	1425	1232.98	9.75529	0.637298
AT1G65541.1	340	153.829	0	0
AT2G01050.1	1548	1355.98	0	0
AT2G07751.1	357	169.489	11	5.22769
AT4G20565.1	789	596.982	0	0
AT1G61566.1	551	359.058	0	0
AT4G29530.2	1148	955.982	35.1818	2.96434
AT4G29530.1	1144	951.982	37.8182	3.19986
AT5G09225.1	780	587.982	341	46.7143
AT1G21100.1	1545	1352.98	214.831	12.7898
AT1G73150.1	2150	1957.98	35.2953	1.45201
