target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2265.05	0	0
AT1G18320.1	699	476.614	0	0
AT5G11100.1	1709	1465.05	0	0
AT4G35335.1	1280	1036.05	8	16.7084
AT1G60930.1	3876	3632.05	0	0
AT1G17000.1	2351	2107.05	0	0
AT3G55270.1	3130	2886.05	12	8.99707
AT4G16150.1	3181	2937.05	36	26.5225
AT3G18150.1	1370	1126.05	0	0
AT3G52310.1	2443	2199.05	9	8.85587
AT3G08943.1	3165	2921.05	3.00128	2.22327
AT4G15950.1	814	580.717	3	11.1784
AT5G60900.1	2873	2629.05	1	0.823047
AT5G18710.1	1919	1675.05	0	0
AT1G64460.1	2240	1996.05	9	9.75652
AT2G31100.1	1247	1003.05	0	0
AT1G60260.1	1634	1390.05	8	12.4533
AT2G06210.1	3579	3335.05	12	7.78579
AT3G57180.1	2232	1988.05	6	6.53052
ATMG01320.1	922	680.549	0	0
AT4G15130.1	1234	990.047	5	10.9279
AT5G39100.1	808	574.946	0	0
AT4G16110.1	2666	2422.05	10	8.93389
AT5G26800.1	637	424.189	6	30.6066
AT4G16360.1	1685	1441.05	13	19.5204
ATMG00060.1	542	347.109	0	0
AT1G76820.1	3857	3613.05	6.52975	3.91063
AT3G05780.1	2775	2531.05	0	0
AT1G24405.1	718	493.844	0	0
AT2G27490.4	843	607.376	7	24.9381
AT2G27490.1	1367	1123.05	0	0
AT2G27490.3	1201	957.047	0	0
AT2G27490.2	1381	1137.05	0	0
AT3G13276.1	269	153.149	1	14.1289
AT1G71740.1	393	234.567	0	0
AT1G52920.1	1351	1107.05	0	0
AT2G17370.1	2273	2029.05	4	4.26571
AT4G13615.1	813	579.717	27	100.779
AT3G46680.1	1350	1106.05	0	0
AT1G70830.3	996	752.341	0	0
AT1G70830.2	1329	1085.05	0	0
AT1G70830.5	787	555.727	0	0
AT1G70830.4	1393	1149.05	0	0
AT1G70830.1	1331	1087.05	28	55.7356
AT2G34090.3	1458	1214.05	8	14.2586
AT2G34090.2	1616	1372.05	0	0
AT2G34090.1	1700	1456.05	0	0
AT2G34090.4	1521	1277.05	0	0
AT2G34090.5	1425	1181.05	0	0
AT1G65541.1	340	198.224	0	0
AT2G01050.1	1548	1304.05	0	0
AT2G07751.1	357	209.181	0.999259	10.3366
AT4G20565.1	789	557.064	0	0
AT1G61566.1	551	353.248	0	0
AT4G29530.2	1148	904.047	0.120318	0.287981
AT4G29530.1	1144	900.047	4.87968	11.7314
AT5G09225.1	780	549.605	18	70.8671
AT1G21100.1	1545	1301.05	1.21423	2.01944
AT1G73150.1	2150	1906.05	0	0
AT1G73150.2	1956	1712.05	1	1.26388
AT3G51750.3	654	439.062	0	0
AT3G51750.1	563	362.944	4	23.8475
AT3G51750.2	560	360.562	0	0
AT1G07010.1	1622	1378.05	6	9.42129
AT1G07010.2	1556	1312.05	0	0
AT1G07010.3	1542	1298.05	0	0
AT1G32080.1	2009	1765.05	15	18.389
AT1G16710.5	6346	6102.05	0	0
AT1G16710.7	5822	5578.05	11	4.26711
AT1G16710.1	6018	5774.05	0	0
AT1G16710.4	6502	6258.05	0	0
AT1G16710.8	6455	6211.05	0	0
AT1G16710.10	6023	5779.05	0	0
AT1G16710.6	6107	5863.05	0	0
AT1G16710.3	6619	6375.05	0	0
AT1G16710.9	6549	6305.05	0	0
AT1G16710.2	5783	5539.05	0	0
AT1G07590.1	2407	2163.05	302.455	302.565
AT5G49170.1	1172	928.047	1	2.3316
