target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2322.83	0	0
AT1G18320.1	699	512.831	7.79464	1.8144
AT5G11100.1	1709	1522.83	47	3.68431
AT4G35335.1	1280	1093.83	117	12.7687
AT1G60930.1	3876	3689.83	34	1.09997
AT1G17000.1	2351	2164.83	0	0
AT3G55270.1	3130	2943.83	296	12.003
AT4G16150.1	3181	2994.83	717	28.5797
AT3G18150.1	1370	1183.83	0	0
AT3G52310.1	2443	2256.83	78	4.12578
AT3G08943.1	3165	2978.83	138.811	5.56275
AT4G15950.1	814	627.831	83	15.7814
AT5G60900.1	2873	2686.83	3	0.133288
AT5G18710.1	1919	1732.83	1	0.0688897
AT1G64460.1	2240	2053.83	113	6.56786
AT2G31100.1	1247	1060.83	2	0.225058
AT1G60260.1	1634	1447.83	176	14.5113
AT2G06210.1	3579	3392.83	271	9.53493
AT3G57180.1	2232	2045.83	77	4.49295
ATMG01320.1	922	735.831	11.097	1.80027
AT4G15130.1	1234	1047.83	85	9.68362
AT5G39100.1	808	621.831	1	0.191972
AT4G16110.1	2666	2479.83	214	10.3015
AT5G26800.1	637	450.831	147	38.9237
AT4G16360.1	1685	1498.83	238	18.9555
ATMG00060.1	542	355.985	4	1.34134
AT1G76820.1	3857	3670.83	128.302	4.17234
AT3G05780.1	2775	2588.83	0	0
AT1G24405.1	718	531.831	4	0.897835
AT2G27490.4	843	656.831	65.2315	11.8553
AT2G27490.1	1367	1180.83	19.5689	1.97829
AT2G27490.3	1201	1014.83	0	0
AT2G27490.2	1381	1194.83	49.1995	4.91547
AT3G13276.1	269	97.5712	3	3.67037
AT1G71740.1	393	209.235	6	3.42316
AT1G52920.1	1351	1164.83	7	0.717374
AT2G17370.1	2273	2086.83	76	4.34747
AT4G13615.1	813	626.831	586	111.598
AT3G46680.1	1350	1163.83	2	0.20514
AT1G70830.3	996	809.831	0	0
AT1G70830.2	1329	1142.83	0	0
AT1G70830.5	787	600.831	0	0
AT1G70830.4	1393	1206.83	0	0
AT1G70830.1	1331	1144.83	441	45.9841
AT2G34090.3	1458	1271.83	0	0
AT2G34090.2	1616	1429.83	5.47219	0.456863
AT2G34090.1	1700	1513.83	156.547	12.3446
AT2G34090.4	1521	1334.83	0.00695138	0.000621663
