target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2269.73	0	0
AT1G18320.1	699	485.156	1	5.08708
AT5G11100.1	1709	1469.73	2	3.35848
AT4G35335.1	1280	1040.73	3	7.11433
AT1G60930.1	3876	3636.73	4	2.71456
AT1G17000.1	2351	2111.73	0	0
AT3G55270.1	3130	2890.73	19	16.2217
AT4G16150.1	3181	2941.73	40	33.5589
AT3G18150.1	1370	1130.73	0	0
AT3G52310.1	2443	2203.73	9	10.0794
AT3G08943.1	3165	2925.73	12	10.1227
AT4G15950.1	814	586.3	3	12.6285
AT5G60900.1	2873	2633.73	0	0
AT5G18710.1	1919	1679.73	0	0
AT1G64460.1	2240	2000.73	7	8.63495
AT2G31100.1	1247	1007.73	0	0
AT1G60260.1	1634	1394.73	8	14.1563
AT2G06210.1	3579	3339.73	12	8.86789
AT3G57180.1	2232	1992.73	6	7.4311
ATMG01320.1	922	686.355	2	7.1917
AT4G15130.1	1234	994.728	4	9.92443
AT5G39100.1	808	581.174	0	0
AT4G16110.1	2666	2426.73	13	13.2212
AT5G26800.1	637	430.808	12	68.7459
AT4G16360.1	1685	1445.73	10	17.0712
ATMG00060.1	542	351.303	1	7.02534
AT1G76820.1	3857	3617.73	3.97828	2.714
AT3G05780.1	2775	2535.73	0	0
AT1G24405.1	718	500.389	0	0
AT2G27490.4	843	613.063	6.24169	25.1274
AT2G27490.1	1367	1127.73	0	0
AT2G27490.3	1201	961.728	2.75831	7.0785
AT2G27490.2	1381	1141.73	0	0
AT3G13276.1	269	154.902	0	0
AT1G71740.1	393	236.522	0	0
AT1G52920.1	1351	1111.73	0	0
AT2G17370.1	2273	2033.73	2	2.4271
AT4G13615.1	813	585.739	28	117.979
AT3G46680.1	1350	1110.73	0	0
AT1G70830.3	996	756.728	0	0
AT1G70830.2	1329	1089.73	0	0
AT1G70830.5	787	561.892	0	0
AT1G70830.4	1393	1153.73	0	0
AT1G70830.1	1331	1091.73	46	103.99
AT2G34090.3	1458	1218.73	5	10.1254
AT2G34090.2	1616	1376.73	0	0
AT2G34090.1	1700	1460.73	0	0
AT2G34090.4	1521	1281.73	0	0
AT2G34090.5	1425	1185.73	0	0
AT1G65541.1	340	200.581	0	0
AT2G01050.1	1548	1308.73	0	0
AT2G07751.1	357	212.916	1.9999	23.182
AT4G20565.1	789	563.892	0	0
AT1G61566.1	551	358.577	0	0
AT4G29530.2	1148	908.728	0.0257044	0.0698108
AT4G29530.1	1144	904.728	0.974296	2.6578
AT5G09225.1	780	554.892	19	84.5075
AT1G21100.1	1545	1305.73	3.4882	6.59323
AT1G73150.1	2150	1910.73	0	0
AT1G73150.2	1956	1716.73	0	0
AT3G51750.3	654	444.757	0	0
AT3G51750.1	563	369.114	7	46.8045
AT3G51750.2	560	366.114	0	0
AT1G07010.1	1622	1382.73	0	0
AT1G07010.2	1556	1316.73	0.00044852	0.00084069
AT1G07010.3	1542	1302.73	2.99955	5.68267
AT1G32080.1	2009	1769.73	13	18.1295
AT1G16710.5	6346	6106.73	0	0
AT1G16710.7	5822	5582.73	11	4.86291
AT1G16710.1	6018	5778.73	0	0
AT1G16710.4	6502	6262.73	0	0
AT1G16710.8	6455	6215.73	0	0
AT1G16710.10	6023	5783.73	0	0
AT1G16710.6	6107	5867.73	0	0
AT1G16710.3	6619	6379.73	0	0
AT1G16710.9	6549	6309.73	0	0
AT1G16710.2	5783	5543.73	0	0
AT1G07590.1	2407	2167.73	319.012	363.205
AT5G49170.1	1172	932.728	1	2.64603
AT2G40240.1	1614	1374.73	0	0
AT4G30380.2	537	346.589	0	0
AT4G30380.1	486	306.013	0	0
AT2G20619.1	201	112.523	0	0
AT3G05830.2	1420	1180.73	2.14153	4.47635
AT3G05830.1	1358	1118.73	6.85847	15.1305
AT3G05830.3	1524	1284.73	0	0
AT5G11430.6	3634	3394.73	6.2945	4.57621
AT5G11430.2	2601	2361.73	0.467549	0.488593
AT5G11430.4	2791	2551.73	0	0
AT5G11430.3	3322	3082.73	0	0
AT5G11430.5	2373	2133.73	0	0
AT5G11430.1	3147	2907.73	0.237954	0.201971
AT1G20530.1	2269	2029.73	2	2.43188
AT4G23170.1	1824	1584.73	5	7.78691
AT1G44780.2	1644	1404.73	0.852946	1.49858
AT1G44780.1	1647	1407.73	0.147054	0.257815
AT1G60880.1	606	404.731	0	0
AT1G06160.1	1086	846.728	0	0
AT3G07260.1	1204	964.728	0	0
AT1G21090.1	1404	1164.73	6	12.7138
AT1G21090.2	1416	1176.73	0	0
AT1G76730.1	1500	1260.73	27	52.8558
AT1G03970.1	1190	950.728	18	46.7268
AT5G19160.1	2182	1942.73	3	3.81118
AT5G19160.2	2242	2002.73	0	0
AT3G49744.1	174	95.4611	0	0
AT5G28820.1	519	331.358	0	0
AT4G12530.1	730	509.703	0	0
AT4G20050.1	1924	1684.73	0	0
AT4G20050.5	1742	1502.73	0	0
AT4G20050.3	1800	1560.73	3	4.74399
AT4G20050.2	1873	1633.73	0	0
AT4G20050.6	1732	1492.73	0	0
AT4G20050.7	1707	1467.73	0	0
AT4G20050.4	1981	1741.73	0	0
AT5G53810.1	1574	1334.73	0	0
AT2G28690.1	1117	877.728	0	0
AT5G01530.1	1396	1156.73	1684	3593.03
AT3G62800.3	1283	1043.73	0	0
AT3G62800.1	1368	1128.73	0	0
AT3G62800.2	1297	1057.73	13	30.3333
ATCG00900.1	468	291.791	38	321.411
AT3G11385.1	2459	2219.73	0	0
AT5G07010.1	1779	1539.73	32	51.2928
AT3G63040.1	654	444.757	0	0
AT2G26570.2	2921	2681.73	24.9453	22.9575
AT2G26570.1	2941	2701.73	0.0547048	0.0499728
AT3G05560.2	756	532.951	32	148.188
AT3G05560.3	841	611.063	0	0
AT3G05560.1	840	610.518	0	0
AT5G12080.3	2694	2454.73	3	3.01625
AT5G12080.2	2805	2565.73	0	0
AT5G12080.1	2754	2514.73	0	0
AT1G50870.1	1191	951.728	0	0
AT2G20610.2	1748	1508.73	0	0
AT2G20610.1	1794	1554.73	28	44.4481
AT5G02940.2	2792	2552.73	3.83605	3.70877
AT5G02940.1	2920	2680.73	37.1639	34.2152
AT1G68430.1	945	706.809	0	0
AT1G66550.2	856	624.225	0	0
AT1G66550.1	765	541.544	0	0
AT1G09380.1	1641	1401.73	0	0
AT3G48840.1	757	533.951	0	0
AT3G48840.2	667	455.329	0	0
AT5G61800.1	1629	1389.73	0	0
AT5G01445.1	589	389.627	0	0
AT4G35500.1	1975	1735.73	0	0
AT4G35500.2	1638	1398.73	2	3.52896
AT1G80310.1	1937	1697.73	19	27.6208
AT2G39400.2	1307	1067.73	0	0
AT2G39400.1	1394	1154.73	18	38.4718
AT4G04990.1	1217	977.728	0	0
AT3G60530.1	1465	1225.73	53	106.717
AT2G46180.1	2540	2300.73	9	9.65444
AT2G22270.1	1398	1158.73	0	0
AT2G22270.2	1174	934.728	3	7.92111
AT2G43660.1	471	294.295	0	0
AT2G43660.2	597	397.004	0	0
AT1G03910.2	2466	2226.73	4.86383e-05	5.3909e-05
AT1G03910.1	2565	2325.73	18	19.1013
AT1G77590.1	2692	2452.73	21	21.131
