target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2271.17	0	0
AT1G18320.1	699	478.967	0	0
AT5G11100.1	1709	1471.17	5	6.76993
AT4G35335.1	1280	1042.17	12	22.9361
AT1G60930.1	3876	3638.17	3	1.64254
AT1G17000.1	2351	2113.17	0	0
AT3G55270.1	3130	2892.17	23	15.8409
AT4G16150.1	3181	2943.17	44	29.7793
AT3G18150.1	1370	1132.17	0	0
AT3G52310.1	2443	2205.17	1	0.903306
AT3G08943.1	3165	2927.17	4.66711	3.17597
AT4G15950.1	814	585.099	3	10.2134
AT5G60900.1	2873	2635.17	0	0
AT5G18710.1	1919	1681.17	0	0
AT1G64460.1	2240	2002.17	8	7.95914
AT2G31100.1	1247	1009.17	0	0
AT1G60260.1	1634	1396.17	14	19.9741
AT2G06210.1	3579	3341.17	18	10.7313
AT3G57180.1	2232	1994.17	8	7.99107
ATMG01320.1	922	686.308	0	0
AT4G15130.1	1234	996.167	6	11.9976
AT5G39100.1	808	579.544	0	0
AT4G16110.1	2666	2428.17	13	10.6645
AT5G26800.1	637	425.842	10	46.7765
AT4G16360.1	1685	1447.17	11	15.1409
ATMG00060.1	542	346.704	0	0
AT1G76820.1	3857	3619.17	11.9365	6.56969
AT3G05780.1	2775	2537.17	0	0
AT1G24405.1	718	496.075	0	0
AT2G27490.4	843	612.742	12	39.0104
AT2G27490.1	1367	1129.17	0	0
AT2G27490.3	1201	963.167	0	0
AT2G27490.2	1381	1143.17	0	0
AT3G13276.1	269	154.778	0	0
AT1G71740.1	393	237.759	0	0
AT1G52920.1	1351	1113.17	0	0
AT2G17370.1	2273	2035.17	5	4.8938
AT4G13615.1	813	584.099	43	146.642
AT3G46680.1	1350	1112.17	0	0
AT1G70830.3	996	758.167	0	0
AT1G70830.2	1329	1091.17	0	0
AT1G70830.5	787	559.85	0	0
AT1G70830.4	1393	1155.17	0	0
AT1G70830.1	1331	1093.17	41	74.7091
AT2G34090.3	1458	1220.17	0	0
AT2G34090.2	1616	1378.17	0	0
AT2G34090.1	1700	1462.17	0	0
AT2G34090.4	1521	1283.17	0	0
AT2G34090.5	1425	1187.17	4	6.71158
AT1G65541.1	340	201.554	0	0
AT2G01050.1	1548	1310.17	0	0
AT2G07751.1	357	213.323	0.998327	9.32203
AT4G20565.1	789	561.85	0	0
AT1G61566.1	551	353.121	0	0
AT4G29530.2	1148	910.167	0.12545	0.274552
AT4G29530.1	1144	906.167	6.87455	15.1117
AT5G09225.1	780	552.85	19	68.4577
AT1G21100.1	1545	1307.17	5.66666	8.63519
AT1G73150.1	2150	1912.17	0	0
AT1G73150.2	1956	1718.17	2	2.31868
AT3G51750.3	654	440.787	0	0
AT3G51750.1	563	363.651	8	43.8209
AT3G51750.2	560	361.54	0	0
AT1G07010.1	1622	1384.17	0	0
