target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2267.89	0	0
AT1G18320.1	699	482.664	1	5.98885
AT5G11100.1	1709	1467.89	1	1.96923
AT4G35335.1	1280	1038.89	4	11.1296
AT1G60930.1	3876	3634.89	0	0
AT1G17000.1	2351	2109.89	0	0
AT3G55270.1	3130	2888.89	14	14.0083
AT4G16150.1	3181	2939.89	17	16.715
AT3G18150.1	1370	1128.89	0	0
AT3G52310.1	2443	2201.89	2	2.62557
AT3G08943.1	3165	2923.89	7.5008	7.41542
AT4G15950.1	814	582.205	5	24.8246
AT5G60900.1	2873	2631.89	0	0
AT5G18710.1	1919	1677.89	0	0
AT1G64460.1	2240	1998.89	7	10.1228
AT2G31100.1	1247	1005.89	0	0
AT1G60260.1	1634	1392.89	5	10.3763
AT2G06210.1	3579	3337.89	16	13.856
AT3G57180.1	2232	1990.89	6	8.71152
ATMG01320.1	922	683.94	0	0
AT4G15130.1	1234	992.885	5	14.5566
AT5G39100.1	808	576.625	0	0
AT4G16110.1	2666	2424.89	4	4.76823
AT5G26800.1	637	426.801	9	60.9545
AT4G16360.1	1685	1443.89	20	40.0393
ATMG00060.1	542	345.261	1	8.37223
AT1G76820.1	3857	3615.89	7.32359	5.85461
AT3G05780.1	2775	2533.89	0	0
AT1G24405.1	718	498.004	0	0
AT2G27490.4	843	609.9	0	0
AT2G27490.1	1367	1125.89	0	0
AT2G27490.3	1201	959.885	3	9.03422
AT2G27490.2	1381	1139.89	0	0
AT3G13276.1	269	151.834	0	0
AT1G71740.1	393	232.372	0	0
AT1G52920.1	1351	1109.89	0	0
AT2G17370.1	2273	2031.89	2	2.84524
AT4G13615.1	813	581.205	22	109.416
AT3G46680.1	1350	1108.89	0	0
AT1G70830.3	996	754.885	0	0
AT1G70830.2	1329	1087.89	0	0
AT1G70830.5	787	557.695	0	0
AT1G70830.4	1393	1151.89	0	0
AT1G70830.1	1331	1089.89	24	63.653
AT2G34090.3	1458	1216.89	0.145897	0.346565
AT2G34090.2	1616	1374.89	0	0
AT2G34090.1	1700	1458.89	5.12969	10.1639
AT2G34090.4	1521	1279.89	0	0
AT2G34090.5	1425	1183.89	0.724411	1.76874
AT1G65541.1	340	196.955	0	0
AT2G01050.1	1548	1306.89	0	0
AT2G07751.1	357	207.543	0	0
AT4G20565.1	789	559.287	0	0
AT1G61566.1	551	352.632	0	0
AT4G29530.2	1148	906.885	0	0
AT4G29530.1	1144	902.885	0	0
AT5G09225.1	780	551.097	11	57.697
AT1G21100.1	1545	1303.89	5.21101	11.5524
AT1G73150.1	2150	1908.89	0	0
AT1G73150.2	1956	1714.89	2	3.37119
AT3G51750.3	654	442.135	0	0
AT3G51750.1	563	363.792	4	31.783
AT3G51750.2	560	361.075	0	0
AT1G07010.1	1622	1380.89	4	8.37319
AT1G07010.2	1556	1314.89	0	0
AT1G07010.3	1542	1300.89	0	0
AT1G32080.1	2009	1767.89	16	26.161
AT1G16710.5	6346	6104.89	0	0
AT1G16710.7	5822	5580.89	4	2.07179
AT1G16710.1	6018	5776.89	0	0
AT1G16710.4	6502	6260.89	0	0
AT1G16710.8	6455	6213.89	0	0
AT1G16710.10	6023	5781.89	0	0
AT1G16710.6	6107	5865.89	0	0
AT1G16710.3	6619	6377.89	0	0
AT1G16710.9	6549	6307.89	0	0
AT1G16710.2	5783	5541.89	0	0
AT1G07590.1	2407	2165.89	249.666	333.206
AT5G49170.1	1172	930.885	2	6.21044
AT2G40240.1	1614	1372.89	2	4.21099
AT4G30380.2	537	340.8	0	0
AT4G30380.1	486	299.187	0	0
AT2G20619.1	201	107.48	0	0
AT3G05830.2	1420	1178.89	0	0
AT3G05830.1	1358	1116.89	5	12.9405
AT3G05830.3	1524	1282.89	0	0
AT5G11430.6	3634	3392.89	0	0
AT5G11430.2	2601	2359.89	0	0
AT5G11430.4	2791	2549.89	0	0
AT5G11430.3	3322	3080.89	0	0
AT5G11430.5	2373	2131.89	2.24563	3.04483
AT5G11430.1	3147	2905.89	3.75437	3.73463
AT1G20530.1	2269	2027.89	0	0
AT4G23170.1	1824	1582.89	4	7.30465
AT1G44780.2	1644	1402.89	2.53508	5.22346
AT1G44780.1	1647	1405.89	0.46492	0.955909
AT1G60880.1	606	400.555	0	0
AT1G06160.1	1086	844.885	0	0
AT3G07260.1	1204	962.885	0	0
AT1G21090.1	1404	1162.89	2.99914	7.455
AT1G21090.2	1416	1174.89	0.000864721	0.0021275
AT1G76730.1	1500	1258.89	25	57.4041
AT1G03970.1	1190	948.885	13	39.6021
AT5G19160.1	2182	1940.89	0	0
AT5G19160.2	2242	2000.89	0	0
AT3G49744.1	174	92.4747	0	0
AT5G28820.1	519	324.904	0	0
AT4G12530.1	730	508.886	0	0
AT4G20050.1	1924	1682.89	0	0
AT4G20050.5	1742	1500.89	1.4605e-08	2.81283e-08
AT4G20050.3	1800	1558.89	0	0
AT4G20050.2	1873	1631.89	0	0
AT4G20050.6	1732	1490.89	2.94917e-06	5.71801e-06
AT4G20050.7	1707	1465.89	2	3.94383
AT4G20050.4	1981	1739.89	0	0
AT5G53810.1	1574	1332.89	0	0
AT2G28690.1	1117	875.885	0	0
AT5G01530.1	1396	1154.89	1430	3579.2
AT3G62800.3	1283	1041.89	3.9999	11.0973
AT3G62800.1	1368	1126.89	0	0
AT3G62800.2	1297	1055.89	9.98536e-05	0.00027336
ATCG00900.1	468	287.184	33.5	337.189
AT3G11385.1	2459	2217.89	0	0
AT5G07010.1	1779	1537.89	9	16.9164
AT3G63040.1	654	442.135	0	0
AT2G26570.2	2921	2679.89	20.9428	22.5896
AT2G26570.1	2941	2699.89	0.0571642	0.0612022
AT3G05560.2	756	531.069	11.1113	60.4789
AT3G05560.3	841	607.9	0	0
AT3G05560.1	840	607.341	23.8887	113.697
AT5G12080.3	2694	2452.89	5	5.89225
AT5G12080.2	2805	2563.89	0	0
AT5G12080.1	2754	2512.89	2.32061e-08	2.66943e-08
AT1G50870.1	1191	949.885	0	0
AT2G20610.2	1748	1506.89	5.7895	11.1058
AT2G20610.1	1794	1552.89	15.2105	28.3135
AT5G02940.2	2792	2550.89	7.05556	7.9952
AT5G02940.1	2920	2678.89	10.9444	11.8094
AT1G68430.1	945	705.945	1	4.09466
AT1G66550.2	856	621.123	0	0
AT1G66550.1	765	539.286	0	0
AT1G09380.1	1641	1399.89	0	0
AT3G48840.1	757	531.678	0	0
AT3G48840.2	667	452.771	0	0
AT5G61800.1	1629	1387.89	0	0
AT5G01445.1	589	386.577	0	0
AT4G35500.1	1975	1733.89	0	0
AT4G35500.2	1638	1396.89	2	4.13864
AT1G80310.1	1937	1695.89	9	15.3403
AT2G39400.2	1307	1065.89	3.70143	10.038
AT2G39400.1	1394	1152.89	12.2986	30.8359
AT4G04990.1	1217	975.885	0	0
AT3G60530.1	1465	1223.89	46	108.644
